workerId,answerPrice,zpid,city,zipcode,latitude,longitude,garageSpaces,hasCooling,hasHeating,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,homeImage
1,200000,29514304,austin,78748,30.15595055,-97.83003235,0,TRUE,TRUE,FALSE,Single Family,0,1998,258000,6403,1439,1,0,1,1,1.4,3.666666667,1458,15,3,3,2,29514304_6a9318f88a29356e870ed0006ea5a6b8-p_f.jpg
2,50000,29514304,austin,78748,30.15595055,-97.83003235,0,TRUE,TRUE,FALSE,Single Family,0,1998,258000,6403,1439,1,0,1,1,1.4,3.666666667,1458,15,3,3,2,29514304_6a9318f88a29356e870ed0006ea5a6b8-p_f.jpg
3,20,29514304,austin,78748,30.15595055,-97.83003235,0,TRUE,TRUE,FALSE,Single Family,0,1998,258000,6403,1439,1,0,1,1,1.4,3.666666667,1458,15,3,3,2,29514304_6a9318f88a29356e870ed0006ea5a6b8-p_f.jpg
4,20000,29514304,austin,78748,30.15595055,-97.83003235,0,TRUE,TRUE,FALSE,Single Family,0,1998,258000,6403,1439,1,0,1,1,1.4,3.666666667,1458,15,3,3,2,29514304_6a9318f88a29356e870ed0006ea5a6b8-p_f.jpg
5,1000000,29514304,austin,78748,30.15595055,-97.83003235,0,TRUE,TRUE,FALSE,Single Family,0,1998,258000,6403,1439,1,0,1,1,1.4,3.666666667,1458,15,3,3,2,29514304_6a9318f88a29356e870ed0006ea5a6b8-p_f.jpg
1,380000,29483921,austin,78749,30.2242718,-97.864441,2,TRUE,TRUE,FALSE,Single Family,2,1988,380000,7056,1880,1,0,1,1,3.2,6,1494,17,3,4,2,29483921_9ed8d2240deb615d144768cdb8959435-p_f.jpg
2,200000,29483921,austin,78749,30.2242718,-97.864441,2,TRUE,TRUE,FALSE,Single Family,2,1988,380000,7056,1880,1,0,1,1,3.2,6,1494,17,3,4,2,29483921_9ed8d2240deb615d144768cdb8959435-p_f.jpg
3,20,29483921,austin,78749,30.2242718,-97.864441,2,TRUE,TRUE,FALSE,Single Family,2,1988,380000,7056,1880,1,0,1,1,3.2,6,1494,17,3,4,2,29483921_9ed8d2240deb615d144768cdb8959435-p_f.jpg
4,150000,29483921,austin,78749,30.2242718,-97.864441,2,TRUE,TRUE,FALSE,Single Family,2,1988,380000,7056,1880,1,0,1,1,3.2,6,1494,17,3,4,2,29483921_9ed8d2240deb615d144768cdb8959435-p_f.jpg
5,1000000,29483921,austin,78749,30.2242718,-97.864441,2,TRUE,TRUE,FALSE,Single Family,2,1988,380000,7056,1880,1,0,1,1,3.2,6,1494,17,3,4,2,29483921_9ed8d2240deb615d144768cdb8959435-p_f.jpg
1,600000,251027801,austin,78739,30.1967506,-97.898445,0,FALSE,FALSE,FALSE,Single Family,0,2006,615000,9583,3076,1,0,1,1,1.4,8.66666667,1664,18,4,5,2,251027801_e40b6d82084a779ae59682c09ad3b5d3-p_f.jpg
2,500000,251027801,austin,78739,30.1967506,-97.898445,0,FALSE,FALSE,FALSE,Single Family,0,2006,615000,9583,3076,1,0,1,1,1.4,8.66666667,1664,18,4,5,2,251027801_e40b6d82084a779ae59682c09ad3b5d3-p_f.jpg
3,20,251027801,austin,78739,30.1967506,-97.898445,0,FALSE,FALSE,FALSE,Single Family,0,2006,615000,9583,3076,1,0,1,1,1.4,8.66666667,1664,18,4,5,2,251027801_e40b6d82084a779ae59682c09ad3b5d3-p_f.jpg
4,300000,251027801,austin,78739,30.1967506,-97.898445,0,FALSE,FALSE,FALSE,Single Family,0,2006,615000,9583,3076,1,0,1,1,1.4,8.66666667,1664,18,4,5,2,251027801_e40b6d82084a779ae59682c09ad3b5d3-p_f.jpg
5,1000000,251027801,austin,78739,30.1967506,-97.898445,0,FALSE,FALSE,FALSE,Single Family,0,2006,615000,9583,3076,1,0,1,1,1.4,8.66666667,1664,18,4,5,2,251027801_e40b6d82084a779ae59682c09ad3b5d3-p_f.jpg
1,300000,29361421,austin,78732,30.3828392,-97.888145,0,TRUE,TRUE,FALSE,Single Family,0,2000,320000,6011,1719,1,0,1,1,1.9,8.33333333,1476,17,2,3,1,29361421_28d91b6fa8ed9df29070f515c405abac-p_f.jpg
2,250000,29361421,austin,78732,30.3828392,-97.888145,0,TRUE,TRUE,FALSE,Single Family,0,2000,320000,6011,1719,1,0,1,1,1.9,8.33333333,1476,17,2,3,1,29361421_28d91b6fa8ed9df29070f515c405abac-p_f.jpg
3,220000,29361421,austin,78732,30.3828392,-97.888145,0,TRUE,TRUE,FALSE,Single Family,0,2000,320000,6011,1719,1,0,1,1,1.9,8.33333333,1476,17,2,3,1,29361421_28d91b6fa8ed9df29070f515c405abac-p_f.jpg
4,2000,29361421,austin,78732,30.3828392,-97.888145,0,TRUE,TRUE,FALSE,Single Family,0,2000,320000,6011,1719,1,0,1,1,1.9,8.33333333,1476,17,2,3,1,29361421_28d91b6fa8ed9df29070f515c405abac-p_f.jpg
5,1000000,29361421,austin,78732,30.3828392,-97.888145,0,TRUE,TRUE,FALSE,Single Family,0,2000,320000,6011,1719,1,0,1,1,1.9,8.33333333,1476,17,2,3,1,29361421_28d91b6fa8ed9df29070f515c405abac-p_f.jpg
1,300000,29486687,austin,78749,30.2160301,-97.858917,0,TRUE,TRUE,FALSE,Single Family,0,1992,380000,7840,2436,1,0,1,1,3.23333333,6,1494,17,2,4,1,29486687_f9cda69f481d6c7703345e5c07800e5f-p_f.jpg
2,400000,29486687,austin,78749,30.2160301,-97.858917,0,TRUE,TRUE,FALSE,Single Family,0,1992,380000,7840,2436,1,0,1,1,3.23333333,6,1494,17,2,4,1,29486687_f9cda69f481d6c7703345e5c07800e5f-p_f.jpg
3,500000,29486687,austin,78749,30.2160301,-97.858917,0,TRUE,TRUE,FALSE,Single Family,0,1992,380000,7840,2436,1,0,1,1,3.23333333,6,1494,17,2,4,1,29486687_f9cda69f481d6c7703345e5c07800e5f-p_f.jpg
4,1000,29486687,austin,78749,30.2160301,-97.858917,0,TRUE,TRUE,FALSE,Single Family,0,1992,380000,7840,2436,1,0,1,1,3.23333333,6,1494,17,2,4,1,29486687_f9cda69f481d6c7703345e5c07800e5f-p_f.jpg
5,1000000,29486687,austin,78749,30.2160301,-97.858917,0,TRUE,TRUE,FALSE,Single Family,0,1992,380000,7840,2436,1,0,1,1,3.23333333,6,1494,17,2,4,1,29486687_f9cda69f481d6c7703345e5c07800e5f-p_f.jpg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,